route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
JAK.110A,SH,JAK.110A-R03,Rusun Marunda - Terminal Terpadu Pulo Gebang,0,,qo80
JAK.112,SH,JAK.112-R01,Tanah Merah - Pulo Gadung,0,,JAK.112-R01_shp
JAK.112,SH,JAK.112-R02,Pulo Gadung - Tanah Merah,1,,JAK.112-R02_shp
JAK.113,SH,JAK.113-R03,Rusun Sindang Koja - Kampung Sawah,0,,JAK.113-R03_shp
JAK.113,SH,JAK.113-R04,Kampung Sawah - Rusun Sindang Koja,1,,JAK.113-R04_shp
JAK.115,SH,JAK.115-R03,Term. Tj. Priok - Pegangsaan II IGI,0,,JAK.115-R03_shp
JAK.115,SH,JAK.115-R04,Pegangsaan II IGI - Term. Tj. Priok,1,,JAK.115-R04_shp
JAK.117,SH,JAK.117-R05,Tanjung Priok - Tanah Merdeka,0,,v7nf
JAK.117,SH,JAK.117-R06,Tanah Merdeka - Tanjung Priok,1,,hkpi
JAK.118,SH,JAK.118-R03,Taman Waduk Papanggo - Kota Tua,0,,db7a
JAK.118,SH,JAK.118-R04,Kota Tua - Taman Waduk Papanggo,1,,6d8i
JAK.11,SH,JAK.11-R01,Tanah Abang - Kebayoran Lama,0,,JAK.11-R01_shp
JAK.11,SH,JAK.11-R02,Kebayoran Lama - Tanah Abang,1,,JAK.11-R02_shp
JAK.120,SH,JAK.120-R03,JIS - Term. Muara Angke,0,,9lt3
JAK.120,SH,JAK.120-R04,Term. Muara Angke - JIS,1,,xcmw
JAK.12,SH,JAK.12-R01,Tanah Abang - Kebayoran Lama via Pos Pengumben,0,,JAK.12-R01_shp
JAK.12,SH,JAK.12-R02,Kebayoran Lama - Tanah Abang Via Pos Pengumben,1,,JAK.12-R02_shp
JAK.13,SH,JAK.13-R03,Tanah Abang - Jembatan Lima,0,,JAK.13-R03_shp
JAK.13,SH,JAK.13-R04,Jembatan Lima - Tanah Abang,1,,JAK.13-R04_shp
JAK.14,SH,JAK.14-R01,Tanah Abang - Meruya,0,,JAK.14-R01_shp
JAK.14,SH,JAK.14-R02,Meruya - Tanah Abang,1,,JAK.14-R02_shp
JAK.15,SH,JAK.15-R04,Tanjung Priok - Rusun Marunda,1,,JAK.15-R04_shp
JAK.15,SH,JAK.15-R05,Rusun Marunda - Tanjung Priok,0,,JAK.15-R05_shp
JAK.16,SH,JAK.16-R01,Cililitan - Condet,0,,JAK.16-R01_shp
JAK.16,SH,JAK.16-R02,Condet - Cililitan,1,,JAK.16-R02_shp
JAK.17,SH,JAK.17-R01,Pulo Gadung - Senen,1,,JAK.17-R01_shp
JAK.17,SH,JAK.17-R02,Senen - Pulo Gadung,1,,JAK.17-R02_shp
JAK.18,SH,JAK.18-R01,Kalibata - Kuningan,0,,JAK.18-R01_shp
JAK.18,SH,JAK.18-R02,Kuningan - Kalibata,1,,JAK.18-R02_shp
JAK.19,SH,JAK.19-R01,Pinang Ranti - Kampung Rambutan,0,,JAK.19-R01_shp
JAK.19,SH,JAK.19-R02,Kampung Rambutan - Pinang Ranti,1,,JAK.19-R02_shp
JAK.20,SH,JAK.20-R01,Cawang Sentral - Lubang Buaya,0,,JAK.20-R01_shp
JAK.20,SH,JAK.20-R02,Lubang Buaya - Cawang Sentral,1,,JAK.20-R02_shp
JAK.21,SH,JAK.21-R01,Cililitan - Dwikora,0,,JAK.21-R01_shp
JAK.21,SH,JAK.21-R02,Dwikora - Cililitan,1,,JAK.21-R02_shp
JAK.22,SH,JAK.22-R03,Dwikora - Halim,0,,6hs4
JAK.22,SH,JAK.22-R04,Halim - Dwikora,1,,meqn
JAK.23,SH,JAK.23-R01,Senen - Pisangan Baru,0,,JAK.23-R01_shp
JAK.23,SH,JAK.23-R02,Pisangan Baru - Senen,1,,JAK.23-R02_shp
JAK.23,SH,JAK.23-R03,Senen - Pisangan Baru,0,,JAK.23-R01_shp
JAK.24,SH,JAK.24-R01,Pulo Gadung - Senen via Kelapa Gading,0,,JAK.24-R01_shp
JAK.24,SH,JAK.24-R02,Senen - Pulo Gadung Via Kelapa Gading,1,,JAK.24-R02_shp
JAK.25,SH,JAK.25-R01,Kampung Rambutan - Kalisari,0,,JAK.25-R01_shp
JAK.25,SH,JAK.25-R03,Kalisari - Kampung Rambutan,1,,JAK.25-R03_shp
JAK.26,SH,JAK.26-R01,Duren Sawit - Rawamangun,0,,JAK.26-R01_shp
JAK.26,SH,JAK.26-R02,Rawamangun - Duren Sawit,1,,JAK.26-R02_shp
JAK.27,SH,JAK.27-R01,Pulo Gebang - Rorotan,0,,JAK.27-R01_shp
JAK.27,SH,JAK.27-R02,Rorotan - Pulo Gebang,1,,JAK.27-R02_shp
JAK.28,SH,JAK.28-R03,Pasar Rebo - St. LRT Harjamukti via Bulak Sereh,0,,lc16
JAK.28,SH,JAK.28-R04,St. LRT Harjamukti - Pasar Rebo,1,,fntt
JAK.29,SH,JAK.29-R03,Sukapura - Tanjung Priok,0,,JAK.29-R03_shp
JAK.29,SH,JAK.29-R04,Tanjung Priok - Sukapura,1,,JAK.29-R04_shp
JAK.30,SH,JAK.30-R01,Grogol - Meruya via Roxy,0,,JAK.30-R01_shp
JAK.30,SH,JAK.30-R02,Meruya - Grogol Via Roxy,1,,JAK.30-R02_shp
JAK.31,SH,JAK.31-R01,Blok M - Andara,0,,JAK.31-R01_shp
JAK.31,SH,JAK.31-R02,Andara - Blok M,1,,JAK.31-R02_shp
JAK.32,SH,JAK.32-R01,Lebak Bulus - Petukangan,0,,JAK.32-R01_shp
JAK.32,SH,JAK.32-R02,Petukangan - Lebak Bulus,1,,JAK.32-R02_shp
JAK.33,SH,JAK.33-R03,Kota - Pulo Gadung,1,,JAK.33-R03_shp
JAK.33,SH,JAK.33-R04,Pulo Gadung - Kota,0,,JAK.33-R04_shp
